awayTeam,awayTeamKit,competition,date,endPeriod1,endPeriod2,homeTeam,homeTeamKit,homeTeamStartLeft,id,period1,period2,season,stadium,startPeriod1,startPeriod2,videos,week
"{'id': '221', 'name': 'Nottingham Forest', 'shortName': 'FOR'}","{'name': 'Home', 'primaryColor': '#ff0000', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#ff0000'}","{'id': '1', 'name': 'Premier League'}",2023-12-26T12:30:00,2964.664,6090.323,"{'id': '13', 'name': 'Newcastle United', 'shortName': 'NEW'}","{'name': 'home', 'primaryColor': '#000000', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#FFFFFF', 'secondaryTextColor': '#000000'}",True,13523,48.82605,51.10888333333334,2023-2024,"{'id': '14', 'name': ""St James' Park"", 'pitchLength': 105.0, 'pitchWidth': 68.0}",35.101,3023.79,"{'fps': 29.97, 'id': '16038', 'videoUrl': 'epitome-staging.pff.com/en/film_room/8db2ae74-7c4c-4e97-9dc0-bd250e07d7c1'}",19
"{'id': '218', 'name': 'Luton Town', 'shortName': 'LUT'}","{'name': 'Away', 'primaryColor': '#000000', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}","{'id': '1', 'name': 'Premier League'}",2023-12-26T15:00:00,2904.771,6220.687,"{'id': '15', 'name': 'Sheffield United', 'shortName': 'SHU'}","{'name': 'home', 'primaryColor': '#E5292A', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#FFFFFF', 'secondaryTextColor': '#000000'}",False,13524,46.16616666666667,54.11743333333333,2023-2024,"{'id': '16', 'name': 'Bramall Lane', 'pitchLength': 101.0, 'pitchWidth': 68.0}",134.801,2973.641,"{'fps': 29.97, 'id': '16039', 'videoUrl': 'epitome-staging.pff.com/en/film_room/3eff888f-0600-46d2-af99-4bcf6d34a479'}",19
"{'id': '5', 'name': 'Burnley', 'shortName': 'BUR'}","{'name': 'alt-1', 'primaryColor': '#F7EB69', 'primaryTextColor': '#000000', 'secondaryColor': '#A44458', 'secondaryTextColor': '#000000'}","{'id': '1', 'name': 'Premier League'}",2023-12-30T15:00:00,3302.569,6675.108,"{'id': '3', 'name': 'Aston Villa', 'shortName': 'AVL'}","{'name': 'home', 'primaryColor': '#660E36', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#93BDE4', 'secondaryTextColor': '#000000'}",True,13525,52.48248333333333,55.19408333333333,2023-2024,"{'id': '4', 'name': 'Villa Park', 'pitchLength': 105.0, 'pitchWidth': 68.0}",153.62,3363.463,"{'fps': 29.97, 'id': '16150', 'videoUrl': 'epitome-staging.pff.com/en/film_room/e46b187c-d108-4ae1-9155-e8475567907a'}",20
"{'id': '119', 'name': 'Brentford', 'shortName': 'BRE'}","{'name': '2022-2', 'primaryColor': '#B3E0FF', 'primaryTextColor': '#000000', 'secondaryColor': '#000000', 'secondaryTextColor': '#B3E0FF'}","{'id': '1', 'name': 'Premier League'}",2023-12-30T15:00:00,3207.641,6230.998,"{'id': '7', 'name': 'Crystal Palace', 'shortName': 'CRY'}","{'name': 'home', 'primaryColor': '#DF2443', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#3258A3', 'secondaryTextColor': '#FFFFFF'}",False,13526,51.61995,49.27206666666666,2023-2024,"{'id': '8', 'name': 'Selhurst Park', 'pitchLength': 101.0, 'pitchWidth': 68.0}",110.444,3274.674,"{'fps': 29.97, 'id': '16151', 'videoUrl': 'epitome-staging.pff.com/en/film_room/ea9ebcb3-74b9-44a5-94df-fc67ce038637'}",20
"{'id': '2', 'name': 'Arsenal', 'shortName': 'ARS'}","{'name': 'alt-1', 'primaryColor': '#1E4260', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#F7BEB3', 'secondaryTextColor': '#000000'}","{'id': '1', 'name': 'Premier League'}",2023-12-31T14:00:00,3127.594,6269.002,"{'id': '54', 'name': 'Fulham', 'shortName': 'FUL'}","{'name': 'home', 'primaryColor': '#FFFFFF', 'primaryTextColor': '#000000', 'secondaryColor': '#0B0906', 'secondaryTextColor': '#FFFFFF'}",True,13527,49.0446,51.163383333333336,2023-2024,"{'id': '25', 'name': 'Craven Cottage', 'pitchLength': 100.0, 'pitchWidth': 65.0}",184.918,3199.199,"{'fps': 29.97, 'id': '16191', 'videoUrl': 'epitome-staging.pff.com/en/film_room/752b74c4-dcd5-43ce-bffc-fb4554559db7'}",20
"{'id': '13', 'name': 'Newcastle United', 'shortName': 'NEW'}","{'name': 'home', 'primaryColor': '#000000', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#FFFFFF', 'secondaryTextColor': '#000000'}","{'id': '1', 'name': 'Premier League'}",2024-01-01T20:00:00,3074.775,6259.893,"{'id': '10', 'name': 'Liverpool', 'shortName': 'LIV'}","{'name': 'home', 'primaryColor': '#D01317', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#FFFFFF', 'secondaryTextColor': '#000000'}",True,13528,50.02558333333334,52.02646666666667,2023-2024,"{'id': '11', 'name': 'Anfield', 'pitchLength': 101.0, 'pitchWidth': 68.0}",73.24,3138.305,"{'fps': 29.97, 'id': '16205', 'videoUrl': 'epitome-staging.pff.com/en/film_room/dae0f7d5-5b67-4b41-ab85-f14797d45107'}",20
"{'id': '6', 'name': 'Chelsea', 'shortName': 'CHE'}","{'name': '2023 Away', 'primaryColor': '#cafff1', 'primaryTextColor': '#000000', 'secondaryColor': '#000000', 'secondaryTextColor': '#cafff1'}","{'id': '1', 'name': 'Premier League'}",2023-12-30T12:30:00,3089.756,6258.625,"{'id': '218', 'name': 'Luton Town', 'shortName': 'LUT'}","{'name': 'Home', 'primaryColor': '#ff5f00', 'primaryTextColor': '#1B1A38', 'secondaryColor': '#1B1A38', 'secondaryTextColor': '#ff5f00'}",True,13529,49.98386666666666,51.821266666666666,2023-2024,"{'id': '117', 'name': 'Kenilworth Road', 'pitchLength': 100.0, 'pitchWidth': 66.0}",90.724,3149.349,"{'fps': 29.97, 'id': '16153', 'videoUrl': 'epitome-staging.pff.com/en/film_room/cb8992bc-94e3-44b5-9d1a-62c1be5c41b3'}",20
"{'id': '15', 'name': 'Sheffield United', 'shortName': 'SHU'}","{'name': 'home', 'primaryColor': '#E5292A', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#FFFFFF', 'secondaryTextColor': '#000000'}","{'id': '1', 'name': 'Premier League'}",2023-12-30T15:00:00,2869.603,5831.131,"{'id': '11', 'name': 'Manchester City', 'shortName': 'MCI'}","{'name': 'home', 'primaryColor': '#6CABDD', 'primaryTextColor': '#000000', 'secondaryColor': '#FFFFFF', 'secondaryTextColor': '#000000'}",True,13530,46.024366666666666,48.134800000000006,2023-2024,"{'id': '12', 'name': 'Etihad Stadium', 'pitchLength': 105.0, 'pitchWidth': 68.0}",108.141,2943.043,"{'fps': 29.97, 'id': '16152', 'videoUrl': 'epitome-staging.pff.com/en/film_room/362398a4-4cf5-4f8d-b5b2-31e9e2521570'}",20
"{'id': '12', 'name': 'Manchester United', 'shortName': 'MUN'}","{'name': 'away', 'primaryColor': '#303030', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#58574C', 'secondaryTextColor': '#FFFFFF'}","{'id': '1', 'name': 'Premier League'}",2023-12-30T17:30:00,2800.367,6199.633,"{'id': '221', 'name': 'Nottingham Forest', 'shortName': 'FOR'}","{'name': 'Home', 'primaryColor': '#ff0000', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#ff0000'}",True,13531,46.05438333333334,55.76019999999999,2023-2024,"{'id': '120', 'name': 'City Ground', 'pitchLength': 105.0, 'pitchWidth': 71.0}",37.104,2854.021,"{'fps': 29.97, 'id': '16159', 'videoUrl': 'epitome-staging.pff.com/en/film_room/e2cb488e-af99-40db-8464-28770e9b367b'}",20
"{'id': '1', 'name': 'AFC Bournemouth', 'shortName': 'BOU'}","{'name': 'home', 'primaryColor': '#E20613', 'primaryTextColor': '#000000', 'secondaryColor': '#000000', 'secondaryTextColor': '#FFFFFF'}","{'id': '1', 'name': 'Premier League'}",2023-12-31T14:00:00,3303.77,6770.47,"{'id': '17', 'name': 'Tottenham Hotspur', 'shortName': 'TOT'}","{'name': 'home', 'primaryColor': '#FFFFFF', 'primaryTextColor': '#000000', 'secondaryColor': '#22274E', 'secondaryTextColor': '#FFFFFF'}",False,13532,54.03848333333334,56.8335,2023-2024,"{'id': '1', 'name': 'The Tottenham Hotspur Stadium', 'pitchLength': 105.0, 'pitchWidth': 68.0}",61.461,3360.46,"{'fps': 29.97, 'id': '16192', 'videoUrl': 'epitome-staging.pff.com/en/film_room/5ed07f0b-645a-47db-b63f-750ca0549311'}",20
"{'id': '4', 'name': 'Brighton & Hove Albion', 'shortName': 'BHA'}","{'name': 'home', 'primaryColor': '#0A55A2', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#FFFFFF', 'secondaryTextColor': '#000000'}","{'id': '1', 'name': 'Premier League'}",2024-01-02T19:30:00,2768.935,5816.15,"{'id': '19', 'name': 'West Ham', 'shortName': 'WHU'}","{'name': 'home', 'primaryColor': '#7C2C3B', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#2BACE3', 'secondaryTextColor': '#FFFFFF'}",True,13533,46.06105,50.26194999999999,2023-2024,"{'id': '19', 'name': 'London Stadium', 'pitchLength': 105.0, 'pitchWidth': 68.0}",5.272,2800.433,"{'fps': 29.97, 'id': '16216', 'videoUrl': 'epitome-staging.pff.com/en/film_room/87191c91-1ce6-4391-902f-04ddd8733f3f'}",20
